Country,Attack_Type,Severity_Score
EUA,SQLi,6
China,SQLi,9
EUA,SQLi,4
EUA,SQLi,3
China,SQLi,1
EUA,Malware,5
Brasil,SQLi,10
EUA,DDoS,6
EUA,Malware,6
China,DDoS,9
EUA,DDoS,8
EUA,Malware,7
EUA,SQLi,9
China,DDoS,3
China,DDoS,5
China,DDoS,9
EUA,DDoS,7
China,SQLi,1
EUA,DDoS,3
China,SQLi,2
EUA,SQLi,7
China,DDoS,2
EUA,SQLi,4
EUA,DDoS,8
EUA,DDoS,7
China,DDoS,3
China,SQLi,6
Brasil,DDoS,4
EUA,DDoS,10
Brasil,Malware,8
China,DDoS,3
EUA,SQLi,10
China,DDoS,5
China,Malware,1
Brasil,SQLi,10
China,Malware,6
China,SQLi,2
China,Malware,2
Brasil,DDoS,3
EUA,Malware,6
EUA,SQLi,9
EUA,SQLi,8
China,DDoS,10
EUA,SQLi,8
EUA,DDoS,10
EUA,Malware,7
Brasil,Malware,8
EUA,DDoS,9
Brasil,SQLi,5
Brasil,Malware,7
China,DDoS,3
China,SQLi,9
EUA,DDoS,10
Brasil,DDoS,1
Brasil,DDoS,9
Brasil,Malware,4
Brasil,DDoS,5
Brasil,SQLi,7
China,Malware,10
China,DDoS,9
Brasil,Malware,7
China,Malware,2
Brasil,SQLi,2
China,SQLi,8
China,SQLi,1
China,SQLi,3
China,DDoS,1
Brasil,Malware,1
China,Malware,4
China,DDoS,8
Brasil,DDoS,9
EUA,DDoS,8
China,SQLi,8
China,Malware,6
EUA,DDoS,2
Brasil,SQLi,2
China,DDoS,9
Brasil,SQLi,4
China,Malware,7
Brasil,SQLi,7
Brasil,Malware,6
EUA,DDoS,7
EUA,Malware,9
EUA,DDoS,4
EUA,Malware,1
EUA,DDoS,8
China,SQLi,4
EUA,DDoS,8
China,DDoS,8
China,Malware,8
EUA,DDoS,9
Brasil,DDoS,8
China,SQLi,9
EUA,Malware,2
Brasil,SQLi,10
China,Malware,9
China,DDoS,10
China,Malware,5
Brasil,SQLi,8
China,Malware,7
