timestamp,ip_origem,tipo_ataque,payload,criticidade
2026-06-06 13:52:20,198.51.100.45,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:52:25,172.56.21.9,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:52:28,91.240.118.12,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:52:30,172.56.21.9,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:52:34,185.220.101.5,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:52:39,91.240.118.12,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:52:41,91.240.118.12,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:52:46,198.51.100.45,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:52:51,185.220.101.5,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:52:53,172.56.21.9,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:52:57,45.132.22.41,Command Injection,; rm -rf /,Critica
2026-06-06 13:53:00,45.132.22.41,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:53:03,172.56.21.9,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:53:05,172.56.21.9,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:53:08,185.220.101.5,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:53:10,91.240.118.12,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:53:12,185.220.101.5,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:53:15,185.220.101.5,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:53:18,198.51.100.45,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:53:20,185.220.101.5,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:53:23,91.240.118.12,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:53:27,91.240.118.12,Command Injection,; rm -rf /,Critica
2026-06-06 13:53:29,172.56.21.9,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:53:32,45.132.22.41,Command Injection,; rm -rf /,Critica
2026-06-06 13:53:35,45.132.22.41,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:53:38,45.132.22.41,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:53:41,198.51.100.45,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:53:46,91.240.118.12,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:53:50,172.56.21.9,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:53:54,185.220.101.5,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:53:58,198.51.100.45,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:54:00,198.51.100.45,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:54:03,91.240.118.12,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:54:06,185.220.101.5,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:54:11,45.132.22.41,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:54:15,45.132.22.41,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:54:17,91.240.118.12,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:54:19,185.220.101.5,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:54:22,198.51.100.45,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:54:27,91.240.118.12,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:54:30,185.220.101.5,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:54:35,91.240.118.12,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:54:37,172.56.21.9,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:54:40,198.51.100.45,Command Injection,; rm -rf /,Critica
2026-06-06 13:54:42,172.56.21.9,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:54:44,45.132.22.41,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:54:47,198.51.100.45,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:54:50,45.132.22.41,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:54:53,185.220.101.5,Cross-Site Scripting (XSS),<script>alert(1)</script>,Media
2026-06-06 13:54:57,91.240.118.12,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:55:02,91.240.118.12,Command Injection,; rm -rf /,Critica
2026-06-06 13:55:06,172.56.21.9,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:55:11,45.132.22.41,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:55:16,172.56.21.9,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:55:21,91.240.118.12,Command Injection,; rm -rf /,Critica
2026-06-06 13:55:23,198.51.100.45,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:55:27,185.220.101.5,SQL Injection,1' OR '1'='1,Alta
2026-06-06 13:55:30,91.240.118.12,Brute Force,Tentativa de login invalida com usuario 'admin',Baixa
2026-06-06 13:55:32,45.132.22.41,Command Injection,; rm -rf /,Critica
2026-06-06 13:55:37,91.240.118.12,SQL Injection,"UNION SELECT null, username, password FROM users",Critica
2026-06-06 13:55:41,198.51.100.45,Path Traversal,../../../../etc/passwd,Critica
2026-06-06 13:55:44,172.56.21.9,Command Injection,; rm -rf /,Critica
2026-06-06 13:55:49,172.56.21.9,Command Injection,; rm -rf /,Critica
2026-06-06 13:55:52,185.220.101.5,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
2026-06-06 13:55:57,172.56.21.9,Command Injection,; rm -rf /,Critica
2026-06-06 13:56:00,172.56.21.9,Cross-Site Scripting (XSS),<img src=x onerror=bf()>,Media
